leaked_bits,sigma,m,seed,epochs,cnn_test_bit_accuracy,cnn_test_prefix_accuracy,cnn_test_exact_prefixes,oracle_hnp_key_recovered,cnn_hnp_key_recovered,hnp_backend,oracle_hnp_runtime_seconds,cnn_hnp_runtime_seconds,oracle_hnp_error,cnn_hnp_error
8,0.0,40,1000,,1.0,1.0,40,,False,fpylll,,0.0921709180001926,,
10,0.0,40,1000,,1.0,1.0,40,,True,fpylll,,0.0909334569996644,,
12,0.0,40,1000,,1.0,1.0,40,,True,fpylll,,0.0923368290004873,,
14,0.0,40,1000,,1.0,1.0,40,,True,fpylll,,0.1254990560000806,,
8,0.05,40,1000,,1.0,1.0,40,,False,fpylll,,0.1587364529996193,,
10,0.05,40,1000,,1.0,1.0,40,,True,fpylll,,0.0972201940003287,,
12,0.05,40,1000,,1.0,1.0,40,,True,fpylll,,0.0932035179994272,,
14,0.05,40,1000,,1.0,1.0,40,,True,fpylll,,0.1005779659999461,,
8,0.1,40,1000,,1.0,1.0,40,,False,fpylll,,0.0922321030002422,,
10,0.1,40,1000,,1.0,1.0,40,,True,fpylll,,0.4101605340001697,,
12,0.1,40,1000,,1.0,1.0,40,,True,fpylll,,0.0965020540006662,,
14,0.1,40,1000,,1.0,1.0,40,,True,fpylll,,0.0941264469993257,,
8,0.15,40,1000,,1.0,1.0,40,,False,fpylll,,0.0944862179994743,,
10,0.15,40,1000,,1.0,1.0,40,,True,fpylll,,0.1962818249994598,,
12,0.15,40,1000,,1.0,1.0,40,,True,fpylll,,0.0958187930000349,,
14,0.15,40,1000,,1.0,1.0,40,,True,fpylll,,0.0937720650008486,,
8,0.2,40,1000,,0.9875,0.95,38,,False,fpylll,,0.4045211869997729,,
10,0.2,40,1000,,0.985,0.9,36,,True,fpylll,,0.1100097720000121,,
12,0.2,40,1000,,0.9833333333333332,0.875,35,,True,fpylll,,0.1137500189997808,,
14,0.2,40,1000,,0.9839285714285714,0.875,35,,True,fpylll,,0.1193662650002806,,
8,0.0,40,1001,,1.0,1.0,40,,False,fpylll,,0.1060590819997742,,
10,0.0,40,1001,,1.0,1.0,40,,True,fpylll,,0.1072043359999952,,
12,0.0,40,1001,,1.0,1.0,40,,True,fpylll,,0.0951512609999554,,
14,0.0,40,1001,,1.0,1.0,40,,True,fpylll,,0.091682899999796,,
8,0.05,40,1001,,1.0,1.0,40,,False,fpylll,,0.1004151500001171,,
10,0.05,40,1001,,1.0,1.0,40,,True,fpylll,,0.09705966599995,,
12,0.05,40,1001,,1.0,1.0,40,,True,fpylll,,0.0993111509997106,,
14,0.05,40,1001,,1.0,1.0,40,,True,fpylll,,0.1136346439998305,,
8,0.1,40,1001,,1.0,1.0,40,,False,fpylll,,0.0936155640001743,,
10,0.1,40,1001,,1.0,1.0,40,,True,fpylll,,0.0952268069995625,,
12,0.1,40,1001,,1.0,1.0,40,,True,fpylll,,0.0947433540004567,,
14,0.1,40,1001,,1.0,1.0,40,,True,fpylll,,0.1109210519998669,,
8,0.15,40,1001,,1.0,1.0,40,,False,fpylll,,0.0933729800008222,,
10,0.15,40,1001,,1.0,1.0,40,,True,fpylll,,0.1134446320002098,,
12,0.15,40,1001,,1.0,1.0,40,,True,fpylll,,0.0954910339996786,,
14,0.15,40,1001,,1.0,1.0,40,,True,fpylll,,0.1047034909997819,,
8,0.2,40,1001,,0.99375,0.975,39,,False,fpylll,,0.1218930140003067,,
10,0.2,40,1001,,0.995,0.975,39,,True,fpylll,,0.1153425679995052,,
12,0.2,40,1001,,0.9958333333333332,0.975,39,,True,fpylll,,0.1000077459993917,,
14,0.2,40,1001,,0.9928571428571428,0.95,38,,True,fpylll,,0.0969194230001448,,
8,0.0,40,1002,,1.0,1.0,40,,False,fpylll,,0.1085095220005314,,
10,0.0,40,1002,,1.0,1.0,40,,True,fpylll,,0.0967463020006107,,
12,0.0,40,1002,,1.0,1.0,40,,True,fpylll,,0.0915196309997554,,
14,0.0,40,1002,,1.0,1.0,40,,True,fpylll,,0.0882919779996882,,
