stage,status,metric,value,reference
dataset,PASS,samples,160,160
dataset,PASS,train_samples,96,96
dataset,PASS,validation_samples,24,24
dataset,PASS,test_attack_samples,40,40
leakage,PASS,traces,160,160
leakage,PASS,noise_sigma,0.15,profile setting
cnn,PASS,validation_bit_accuracy,0.9965277910232544,measured
cnn,PASS,validation_prefix_accuracy,0.9583333134651184,measured
cnn,PASS,test_predictions,40,40
cnn,PASS,test_bit_accuracy,1.0,measured
cnn,PASS,test_prefix_accuracy,1.0,measured
hnp_oracle,PASS,samples,40,oracle validation
hnp_oracle,PASS,reduction_backend,sympy,development environment
hnp_oracle,PASS,reduction_executed,True,LLL executed
hnp_oracle,PASS,key_recovered,True,"measured for ell=12,m=40"
hnp_cnn,PASS,samples,40,CNN attack instance
hnp_cnn,PASS,reduction_backend,sympy,development environment
hnp_cnn,PASS,reduction_executed,True,LLL executed
hnp_cnn,PASS,key_recovered,True,"measured for ell=12,m=40"
math,PASS,bridge_modules_passed,4,4
math,PASS,diophantine_modules_passed,5,5
pipeline,PASS,fully_executed,False,fpylll ran in ubuntu
environment,INFO,fpylll_available,False,fpylll required for reference execution
