leaked_bits,sample_count,reduction_backend,reduction_executed,relation_ok,matches_private_key,reduction_error
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
14,40,fpylll,True,True,True,
8,40,fpylll,True,True,False,
10,40,fpylll,True,True,True,
12,40,fpylll,True,True,True,
